Artist,song,lyrics
Justin Timberlake,3-Way (The Golden Rule),"Yeah
Backin' that ass
Your mom says ""Hi"" — Jinx!

Yeah yeah yeah yeah yeah
Yeah yeah yeah yeah yeah

Yeah yeah yeah yeah yeah
Yeah yeah yeah yeah yeah

Yeah yeah yeah yeah yeah
Yeah yeah yeah no no

Yeah yeah yeah, yeah yeah yeah
Yeah yeah yeah yeah yeah

Summertime in the city
And everybody's having sex

You know I just got a page from a girl that I met last week at the Payless
Shoe stores

I also have a cutie to call who likes the way I knock on her boots

Well let's help them back
Let's handle that
In two-to-six hours,
We'll meet back here and regroup

Now let's shoop

Roll up to her crib with some Bartles & James
Hop off the bus with the Alizé
Now hold up player, whatchu diggity-doing here?
I should diggity-ask you the same
And she sang

Hey, boys I want you both
I hope that you think that's cool

(Say word?)
I know most guys won't freak together
She forgot about the Golden Rule — a huh huh

It's OK to put us in a three-way
It's not gay when it's in a three-way
With a honey in the middle there's some leeway
The area's grey in a one, two, three-way

Normally, I don't get down with dudes
But tonight is a special exception (Great)
See you're my best friend
Through thick and thin
Now it's time to make a triple connection

Lights off

Here in the dark (Here in the dark)
It's so hard to tell (So hard to tell)
Where her body ends (La la)
And my homie's begins (Ew wee)
This rule dates back (The Golden Rule)
To ancient Greece (Takin' about Cesar)
We're two Jack Trippers and a Chrissy
The new Three's Company

You guys are still here.

It's OK to put us in a three-way
It's not gay when it's in a three-way
With a honey in the middle there's some leeway
The area's grey in a one, two three-way

Fellas, get ready
To impress a chick
Helicopter dick, go! Hellicopter dick. Helicopter dick
To impress a chick
Helicopter dick

And all of that was OK
'Cuz it was in a three-way
It's right there when you see the instant replay (boom)
Maybe two is enough
That's what they'll say
But we'll say, ""Hell no.""
It's a one, two, three-way

Yeah yeah yeah yeah yeah

The golden rule "
Justin Timberlake,4-minutes,"I'm outta time and
All I got is four minutes, eh
I'm outta time and
All I got is four minutes, eh
I'm outta time and
All I got is four minutes, eh
I'm outta time and
All I got is four minutes, eh
I'm outta time and
All I got is four minutes, eh
I'm outta time and
All I got is four minutes, eh
I'm outta time and
All I got is four minutes, eh
I'm outta time and
All I got is four minutes
Come on, ah
Yeah, ah
Break down
Come on
Hey, uh
Come on
Madonna
Come on boy
I've been waiting for somebody
To pick up my stroll
Well don't waste time
Give me a sign
Tell me how you wanna roll
I want somebody to speed it up for me
Then take it down slow
There's enough room for both
Well, I can handle that
You just gotta show me where it's at
Are you ready to go
(Are you ready to go)
If you want it
You already got it
If you thought it
It better be what you want
If you feel it
It must be real just
Say the word and
I'm a give you what you want
Time is waiting
We only got four minutes
To save the world
No hesitating
Grab a boy
Grab a girl
Time is waiting
We only got four minutes
To save the world
No hesitating
We only got four minutes
Four minutes
Keep it up, keep it up
Don't be a pretty
Madonna, uh
You gotta get in line, hop
Tick tock tick tock tick tock
That's right, keep it up, keep it up
Don't be a pretty Madonna, uh
You gotta get in line, hop
Tick tock tick tock tick tock
Sometimes I think what I need
Is a you intervention, yeah
And you know I can
Tell that you like it
And that it's good, by the way
That you move, ooh, hey
The road to hell is paved
With good intentions, yeah
But if I die tonight
At least I can say I did
What I wanted to do
Tell me, how 'bout you?
If you want it
You already got it
If you thought it
It better be what you want
If you feel it
It must be real just
Say the word and
I'm a give you what you want
Time is waiting
We only got four minutes
To save the world
No hesitating
Grab a boy
Grab a girl
Time is waiting
We only got four minutes
To save the world
No hesitating
We only got four minutes
Four minutes
Keep it up, keep it up
Don't be a pretty Madonna, uh
You gotta get in line, hop
Tick tock tick tock tick tock
That's right, keep it up, keep it up
Don't be a pretty Madonna, uh
You gotta get in line, hop
Tick tock tick tock tick tock
Breakdown, yeah
(Tick tock tick tock tick tock)
Yeah, uh huh
(Tick tock tick tock tick tock)
I only got four minutes, to save the world"
Justin Timberlake,Ain't No Doubt About It,"I just wanna touch ya, yeah, the way you move
The way you move
Oh, you make me love you, yeah, cause lady you cool
That's the way, you move it baby
That's the way, you move it, baby
Tell your girls, to come join our table
Tell your girls, come join our table
And don't you worry, just keep movin, boo
Don't you worry, keep movin, boo
Cause you're the star, everybody looking at you
You're the star, said they're looking at you, girl
And there ain't no doubt about it
Girl, the way you move
And there ain't no doubt about it
Hey, girl, baby, you cool

[Verse 1: The Game]
G-A-M-E, drop top Bent-a-ley
Gucci belt buckle fresh out of Italy
I'm a baller, literally
Haters are swine flu, you're killing me
I'm looking down on you from where the ceiling be
Me and my niggas swarm on you like the killer bees
My chick riding shotgun, Billie Jean
Half Belizian, half from the Phillipines
Niggas energy, is like they got the heaves
Sick of me think they wanna nine milly me
But they ain't for rat tat tat-tat tat
My bullets sing like their registered to ASCAP
Need I say more out in Singapore
Everything I do exotic I don't need to bring a broad
Mr. Red Carpet, I don't do awards
You want it I done it five million on tour, offshore

[Hook: Justin Timberlake & Pharrell Williams]
I just wanna touch ya, yeah, the way you move
The way you move
Oh, you make me love you, yeah, cause lady you cool
That's the way, you move it baby
That's the way, you move it, baby
Tell your girls, to come join our table
Tell your girls, come join our table
And don't you worry, just keep movin, boo
Don't you worry, keep movin, boo
Cause you're the star, everybody looking at you
You're the star, said they're looking at you, girl
And there ain't no doubt about it
Girl, the way you move
And there ain't no doubt about it
Hey, girl, baby, you cool

[Verse 2: The Game]
Ayo Pharrell, I'm ri-ri-diculous, so-so sick with it
You can call me cancer but I don't smoke cigarettes
Come through in a 'rarri same color as licorice
If I ain't with her my bitch like ""this my nigga's shit""
Haters beware, I can see clear
Through the lens on these black Louis V's yeah
Something 'bout Mary, make me wanna blow up
And P got the 'disiac for me when I show up
Whip game crazy I call it all kinda
You a big fish to swim the piranhas
Used to call me ""Dope Game"" when I copped from Jose
Now I play the Roosevelt and I cop Rose
(Niggas be like yo you lease that? No way)
California Slim license plate St. Tropez
Eat at a table full of toupees, lobsters
Been a mobster since the two-way holla

[Hook: Justin Timberlake & Pharrell Williams]
I just wanna touch ya, yeah, the way you move
The way you move
Oh, you make me love you, yeah, cause lady you cool
That's the way, you move it baby
That's the way, you move it, baby
Tell your girls, to come join our table
Tell your girls, come join our table
And don't you worry, just keep movin, boo
Don't you worry, keep movin, boo
Cause you're the star, everybody looking at you
You're the star, said they're looking at you, girl
And there ain't no doubt about it
Girl, the way you move
And there ain't no doubt about it
Hey, girl, baby, you cool"
Justin Timberlake,Amnesia,"Keeps coming closer
I don't, but she thinks I know her
Beautiful smile with those sad eyes
That was my type
Amnesia that's over
I can see your breathing, girl, is colder
I can see you need me but I don't care
My whole memory of me and love
Gone so far from me girl
It's not fair
I could feel it almost start to change (almost starts to change)
But then it hurts too much
That's when it starts to fade
So cold baby, now I'm going crazy
I don't know why you need me alone
If it was true, if it was you
Don't you think?
Don't you think I would know?
Amnesia, every memory fades away till it's gone
Where did you go?
Amnesia, went from everything to nothing
No we anymore, she's a stranger that I used to know
Peaceful for those of us
So happy, so in love
Tell me what happened
Who are they? Where did they go?
And when was enough, enough
When did all the fire turn colder?
When did your heart start to beat slower?
My whole memory of me in love, is gone so far from me, It's not fair.
And I can feel it almost start to change (almost start to change)
But it just hurts to much, I let it go away
So cold baby, now I'm going crazy
I don't know why you need me alone
If it was true, if it was you
Don't you think?
Don't you think I would know?
Amnesia, every memory fades away till it's gone
Where did you go?
Amnesia, went from everything to nothing
No we anymore, she's a stranger that I used to know
I can feel it almost start to change (almost start to change)
But then it hurts too much I let it go away uuuh
So cold baby (so cold), now I'm going crazy
I don't know why you need me alone
If it was true, if it was you
Don't you think?
Don't you think I would know?
Amnesia, every memory fades away till it's gone
Where did you go?
Amnesia, everything and nothing
No we anymore she's a stranger
Amnesia, every memory fades away till it's gone
Where did you go?
Amnesia, everything and nothing
No we anymore she's a stranger that I used to know
And I don't know you anymore
Everything to nothing
Everything to nothing
She's a stranger that I used to know
Amnesia, amnesia, amnesia
Go on and tear me apart
And do it again tomorrow
I almost forgot
Who you are
I try to forget about it every time I see ya, See ya
Thought I could do without it
Now I know I need ya, need ya
This is turning into some kind, some kind of amnesia, I need ya
Memories fade away
Love is so insane,
I try to forget about it, every time I see ya, see ya
Thought I could do without it
Now I know I need ya, need ya
This is turning into some kind, some kind of amnesia, I need ya
Memories fade away
Love is so insane
So tear me apart and do it again tomorrow
I almost forgot who we are
I'll let you drive me crazy for another day
Isn't this love insane, insane? Yeah
"
Justin Timberlake,(And She Said) Take Me Now,"What you waiting for?
I know you're watching me
Hey boy, come on and take me now
What you waiting for?
I know you're watching me
Hey boy, come on and take me now
Can I talk to you for a minute
You've been looking all night for your shining star
Well baby here I am, so why you waiting?
Step on over, let me show you how bad you are
Just let me take the lead
All you gotta do is let your mind be free
Lets hit the floor and cause a scene
Get real wet if you know what I mean
What you say baby?
Take me now
I'm hungry for your loving
(And she said)
Show me how
You got me working, honey
(And she said)
Right now
I'm hot just like an oven
(And she said)
So take me now
Boy you make me feel like I gotta dance
I gotta dance, gotta dance baby, I gotta dance
I feel good to you, you try to hide it
And I can tell by the way you push up close to me
Your body temperature, is arising
Something's going down as far as I can see
Just let me take the lead
All you gotta do is let your mind be free
Lets hit the floor and cause a scene
Get real wet if you know what I mean
What you say baby?
Take me now
I'm hungry for your loving
(And she said)
Show me how
You got me working, honey
(And she said)
Right now
I'm hot just like an oven
(And she said)
So take me now
Boy make me feel like I gotta dance
You know
Don't I
Say don't I make you feel like you gotta dance
Once I get to know ya
(No)
I'm gonna show ya
(No)
That there's no better way
(Yea)
Lets dance the night away
(Yea)
Don't wanna control ya
(No)
Just wanna hold ya
(No)
Dance the night away
So what you say baby, what you say (What you saying to me)
I'm hungry for your loving (Hungry for you)
(And she said) Show me how (Oh)
You got me working, honey (Got me working)
(And she said) Right now (Oh)
I'm hot just like an oven (Hot just like an oven)
(And she said) So take me now
Boy you make me feel like I gotta dance
(And she said) Take me now (Oh)
I'm hungry for your loving (Hungry for you)
(And she said) Show me how (Oh)
You got me working, honey (Got me working)
(And she said) Right now (Oh)
I'm hot just like an oven
(And she said) So take me now
Boy you make me feel like I gotta dance
Like you gotta dance, like you gotta dance, like you gotta dance, no
Like you gotta dance, like you gotta dance, like you gotta dance, no
I'm like a hurricane
Just coasting along
You better grab me girl
I hope you take me now
I'm like a hurricane
Just coasting along
You better grab me girl
I hope you take me now
I'm like a hurricane
Just coasting along
You better grab me girl
I hope you take me now
I'm like a hurricane
Just coasting along
You better grab me girl
Take me now
Take me now
I'm hungry for your loving
Show me how
You got me working, honey
Right now
I'm hot just like an oven
So take me now
Take me now
Take me now
Take me now
I'm hungry for your loving
Show me how
You got me working, honey
Right now
I'm hot just like an oven
So take me now
Boy you make me feel like I gotta dance"
Justin Timberlake,(Another Song) All Over Again,"Oh, yeah
You've been alone
You've been afraid
I've been a fool
In so many ways
But I would change my life
If you thought you might try to love me
So please give me another chance
To write you another song
Take back those things I've done
'Cause I'll give you my heart
If you would let me start all over again
I'm not a saint
I'm just a man
Who had heaven and earth in the palm of his hand
But I threw it away
So now I stand here today asking forgiveness
And if you could just
Please, give me another chance
To write you another song
Take back those things I've done
'Cause I'll give you my heart
If you would let me start all over again
Ooh
Little girl, you're all I've got
Don't you leave me standing here once again
'Cause I'll give you my life (yes I would)
If you would let me try to love you
So please give me another chance
To write you another song
And take back those things I've done
'Cause I'll give you my heart
If you would let me start all over again
Again, oh
No no
Oh oh
You know I love you (yeah)
Give me one more chance
No no
No no no no"
Justin Timberlake,Ayo Technology,"Something special, unforgettable,
50 Cent (cent), Justin (tin), Timbaland (land), god damn (damn)
She she, she want it, I want to give it to her
She know that, it's right here for her
I want to, see you break it down
I'm ballin', throwin' money around
She work it girl, she work the pole
She break it down, she take it low
She fine as hell, she about the dough
She doing her thing out on the floor
Her money money, she makin' makin'
Look at the way she shakin' shakin'
Make you want to touch it, make you want to taste it
Have you lustin' for her, go crazy face it
Now don't stop, get it, get it
The way she shakin' make you want to hit it
Think she double jointed from the way she splitted
Got you're head fucked up from the way she did it
She's so much more than you're used to
She know's just how to move to seduce you
She gone do the right thing and touch the right spot
Dance in you're lap till you're ready to pop
She always ready, when you want it she want it
Like a nympho, the info, I show you where to meet her
On the late night, till daylight the club jumpin'
If you want a good time, she gone give you what you want
Baby this a new age, you like my new craze
Let's get together maybe we can start a new phase
The smokes got the club all hazy, spotlights don't do you justice baby
Why don't you come over here, you got me saying
Ayo, I'm tired of using technology
Why don't you sit down on top of me
Ayo, I'm tired of using technology
I need you right in front of me
Ooh, she wants it, uh uh, she wants it
Ooh, she wants it, uh uh (so), I got to give it to her
Ooh, she wants it, uh uh, she wants it
Ooh, she wants it, uh uh (so), I got to give it to her
Your hips, your thighs, you got me hypnotized, let me tell you
Your hips, your thighs, you got me hypnotized, let me tell you
Your hips, your thighs, you got me hypnotized, let me tell you
Your hips, your thighs, you got me hypnotized, let me tell you
Got a thing for that thing she got
The way she make it shake, the way she make it pop
Make it rain for us so she don't stop
I ain't got to move, I can sit and watch
In her fantasy, there's plain to see
Just how it be, on me, backstrokin', sweat soaking
All into my set sheets
When she ready to ride, I'm ready to roll
I'll be in this bitch till the club close
What should I do, one thing on all fours
Now that that shit should be against the law
From side to side, let the ride, break it down (down down)
You know I like, when you hike and you throw it all around
Different style, different move, damn I like the way you move
Girl you got me thinking about, all the things I do to you
Let's get it poppin' shorty we can switch positions
From the couch to the counters in my kitchen
Baby this a new age, you like my new craze
Let's get together maybe we can start a new phase
The smokes got the club all hazy, spotlights don't do you justice baby
Why don't you come over here, you got me saying
Ayo, I'm tired of using technology
Why don't you sit down on top of me
Ayo, I'm tired of using technology
I need you right in front of me
Ooh, she wants it, uh uh, she wants it
Ooh, she wants it, uh uh (so), I got to give it to her
Ooh, she wants it, uh uh, she wants it
Ooh, she wants it, uh uh (so), I got to give it to her
Your hips, your thighs, you got me hypnotized, let me tell you
Your hips, your thighs, you got me hypnotized, let me tell you
Your hips, your thighs, you got me hypnotized, let me tell you
Your hips, your thighs, you got me hypnotized, let me tell you"
Justin Timberlake,Blindness,"Why can't I see you?
Stuck in black and white
You're in technicolor brightness
Why can't I see you?
I've been struck by blindness
I close my eyes cause you've been gone
Such a long time I fantasize
You close so long fantasy
Began to see it altered my mind
Am I crazy?
When I open my eyes
The world was gone
Reached out when I heard you call my name
But all I felt was cold
Tell me why can't I see you?
I'm stuck in black and white
You're in technicolor brightness
Why can't I see you?
I've been struck by blindness
If I close my eyes and concentrate
You illuminate your brightest light
And I let you go
The worst mistake it's clear as day
But I can't wrap my mind around it baby
And when I open my eyes
The world is gone, long gone, long gone
Reached out when I heard you call my name
But all I felt was cold
Tell me why can't I see you?
I'm stuck in black and white
You're in technicolor brightness
Why can't I see you?
I've been struck by blindness
Oh, tell me why can't I see you?
It's like I'm stuck in black and white
And you're in technicolor brightness
Why can't I see you? Yeah
I've been struck by blindness
Why can't I see you?
In black and white
You're in technicolor brightness
Why can't I see you? Yeah
I've been struck by blindness
Blindness, blindness
Blindness, blindness
Blindness, blindness
Blindness, blindness"
Justin Timberlake,Blue ocean floor,"Frequencies so low
Heart on a string
A string that only plays solos
Rain made of echoes
Tidal wave rushing on and on
Under the water you scream so loud but the silence surrounds you
But I hear it loud and you fall in the deep and I'll always find you
If my red eyes don't see you anymore
And I can't hear you through the white noise
Just send your heartbeat I'll go to the blue ocean floor
Where they find us no more
On that blue ocean floor
On that blue ocean floor
On that blue ocean floor
On that blue ocean floor
On that blue ocean floor
Shell made out of gold
Found on a beach picked up and you held so close
Rain washed out it's glow
Heartbeat steadily leads me down below
Under the water you scream so loud but the silence surrounds you
But I hear it loud and you fall in the deep and I'll always find you
If my red eyes don't see you anymore
And I can't hear you through the white noise
Just send your heartbeat I'll go to the blue ocean floor
Where they find us no more
On that blue ocean floor
On that blue ocean floor
On that blue ocean floor
On that blue ocean floor
On that blue ocean floor
20, 000 leagues away, catch up to you on the same day
Travel at the speed of light, thinking the same thoughts at the same time
Heartbeat set at steady pace, I’ll let the rhythm show me the way
No one can find us here, fade out and disappear
If my red eyes don't see you anymore
And I can't hear you through the white noise
Just send your heartbeat I'll go to the blue ocean floor
Where they find us no more
On that blue ocean floor
On that blue ocean floor
On that blue ocean floor
On that blue ocean floor
On that blue ocean floor"
Justin Timberlake,Body Count,"Timbo
Yeah
It's what we do
You know y'all been waiting but
Hey girl
I bet you I talk you right out out out them them them them drawers
I bet you I talk you right out out out them them them them drawers
I bet you I take you right out out them them them them drawers
Hey JT, sing that shit, as I, pause
I was a boxer 'til I knocked that out
I played a doctor 'til I made that house, call
I had a shy little quiet girl but now she sings opera loud
But my train is on yo track now
So watch out
With the music in the lights in the middle of the night
I'm gettin' my way like a kid in a candy store
I think you got what I want
And by the end of the night when you hot like a light
It'll be cause you and me burned up the floor
And if you're on what I'm on, then you already know, come on
Help me I'm going down
That's what I hear her say
Baby my body count
Is blowing up all the way, hey
Sign up, put your name down
Make my body count
Make my body count
Make my body count
That's what I'm talkin' 'bout
Waitress 'til she got that tip
Sailor until I sunk that ship
Yeah I had a hot little fire girl
But now she just smoke that's it
And I ain't gon' stop 'til I get you out on top of this list"
